Folder,Molecule,alpha_GFN2,alpha_wb97,error
kyle-mutants,215,77.61290022399999,79.49070133,1.87780110600001
mike-copolymer,57-89,30.704174719999997,32.58150933,1.87733461000001
mike-copolymer,24-80,26.46262644,28.339779999999998,1.87715356
pubchemqc,13598040,23.03348654679932,24.90836811845392,1.8748815716546
mike-copolymer,46-95,27.342785695999996,29.217124,1.874338304
mike-copolymer,36-39,27.115134611999995,28.989203999999997,1.874069388
pubchemqc,43684085,24.420910657907637,26.29389516888848,1.87298451098084
mike-copolymer,51-76,33.85533078,35.727940000000004,1.87260922
mike-copolymer,22-42,24.723131232,26.5956,1.872468768
pubchemqc,21286950,21.397460799372247,23.269445211736684,1.87198441236444
kyle-mutants,777,68.92284786399999,70.794172,1.87132413600001
pubchemqc,63891785,22.72003779897889,24.591252836322376,1.87121503734349
pubchemqc,13171413,22.551335580763844,24.422322265467248,1.8709866847034
pubchemqc,1211758,21.011022782904348,22.881201268192452,1.8701784852881
mike-copolymer,22-39,27.755827204,29.62461733,1.868790126
pubchemqc,28411137,21.942156086496173,23.810319407895626,1.86816332139945
mike-copolymer,51-100,31.018673684,32.88594533,1.867271646
mike-copolymer,66-75,29.81432398,31.68152133,1.86719735
mike-copolymer,3-63,29.632265183999998,31.49918533,1.866920146
pubchemqc,54716361,22.51746055576605,24.383794240535394,1.86633368476934
mike-copolymer,26-49,28.111342888,29.97764667,1.866303782
pubchemqc,10933412,25.383191350516782,27.248204709508638,1.86501335899186
pubchemqc,43429125,18.294073883816488,16.429238939217004,1.86483494459948
mike-copolymer,39-65,29.773601632000002,31.63805867,1.864457038
mike-copolymer,15-84,26.773865704,28.63765467,1.863788966
pubchemqc,12596583,20.949647342818455,22.8130363010053,1.86338895818685
mike-copolymer,1-84,24.758064115999996,26.62145067,1.86338655400001
mike-copolymer,16-84,28.443593563999997,30.306848,1.863254436
pubchemqc,58432088,23.400906537422014,25.26252957840457,1.86162304098256
mike-copolymer,37-67,30.86577814,32.72610533,1.86032719
mike-copolymer,76-93,32.041827284,33.902064,1.860236716
mike-copolymer,6-71,25.661595679999998,27.521340000000002,1.85974432
pubchemqc,20829874,20.21273099739868,22.07211274462319,1.85938174722451
mike-copolymer,32-79,25.436834888,27.29509733,1.858262442
mike-copolymer,6-85,26.433561312,28.290052000000003,1.856490688
mike-copolymer,95-98,32.507626648,34.36318267,1.855556022
mike-copolymer,45-54,25.005943544,26.86121067,1.855267126
mike-copolymer,36-43,26.384333256,28.237659999999998,1.853326744
mike-copolymer,22-41,26.524422656,28.376484,1.852061344
mike-copolymer,26-75,28.185308403999997,30.03709333,1.851784926
mike-copolymer,18-91,31.079798276,32.93123333,1.851435054
pubchemqc,23461005,24.76847211900275,26.618419686583838,1.84994756758109
pubchemqc,64435101,25.250156303197702,27.095574456893925,1.84541815369622
mike-copolymer,18-54,32.278133407999995,34.12194267,1.84380926200001
pubchemqc,53407580,21.455480152117158,23.29908215399197,1.84360200187481
mike-copolymer,25-77,29.28390086,31.127064,1.84316314
mike-copolymer,46-70,26.610973352,28.453444,1.842470648
kyle-mutants,1697,70.130003796,71.97244933,1.84244553400001
